imdb_id	title	type	year	genres	rating	votes
tt1375666	Inception	movie	2010	Action,Adventure,Sci-Fi	8.8	2800994
tt0816692	Interstellar	movie	2014	Adventure,Drama,Sci-Fi	8.7	2503001
tt0133093	The Matrix	movie	1999	Action,Sci-Fi	8.7	2236585
tt0482571	The Prestige	movie	2006	Drama,Mystery,Sci-Fi	8.5	1579448
tt0848228	The Avengers	movie	2012	Action,Sci-Fi	8.0	1551974
tt0088763	Back to the Future	movie	1985	Adventure,Comedy,Sci-Fi	8.5	1445073
tt4154796	Avengers: Endgame	movie	2019	Action,Adventure,Sci-Fi	8.4	1435701
tt4154756	Avengers: Infinity War	movie	2018	Action,Adventure,Sci-Fi	8.4	1362347
tt0103064	Terminator 2: Judgment Day	movie	1991	Action,Adventure,Sci-Fi	8.6	1278896
tt1431045	Deadpool	movie	2016	Action,Comedy,Sci-Fi	8.0	1248107
tt0434409	V for Vendetta	movie	2005	Action,Drama,Sci-Fi	8.1	1243188
tt0371746	Iron Man	movie	2008	Action,Adventure,Sci-Fi	7.9	1218689
tt1392190	Mad Max: Fury Road	movie	2015	Action,Adventure,Sci-Fi	8.1	1201990
tt0338013	Eternal Sunshine of the Spotless Mind	movie	2004	Drama,Romance,Sci-Fi	8.3	1178285
tt0107290	Jurassic Park	movie	1993	Action,Adventure,Sci-Fi	8.2	1171529
tt1392170	The Hunger Games	movie	2012	Action,Adventure,Sci-Fi	7.2	1077183
tt0078748	Alien	movie	1979	Horror,Sci-Fi	8.5	1059396
tt2488496	Star Wars: Episode VII - The Force Awakens	movie	2015	Action,Adventure,Sci-Fi	7.7	1022574
tt3659388	The Martian	movie	2015	Adventure,Drama,Sci-Fi	8.0	1004000
tt0088247	The Terminator	movie	1984	Action,Adventure,Sci-Fi	8.1	1000092
tt2395427	Avengers: Age of Ultron	movie	2015	Action,Adventure,Sci-Fi	7.3	995753
tt1843866	Captain America: The Winter Soldier	movie	2014	Action,Adventure,Sci-Fi	7.7	967645
tt0145487	Spider-Man	movie	2002	Action,Adventure,Sci-Fi	7.4	963090
tt0458339	Captain America: The First Avenger	movie	2011	Action,Adventure,Sci-Fi	6.9	962964
tt1300854	Iron Man 3	movie	2013	Action,Adventure,Sci-Fi	7.1	961780
tt0066921	A Clockwork Orange	movie	1971	Crime,Sci-Fi	8.2	934205
tt1228705	Iron Man 2	movie	2010	Action,Sci-Fi	6.9	933437
tt3498820	Captain America: Civil War	movie	2016	Action,Sci-Fi	7.8	922743
tt3315342	Logan	movie	2017	Action,Drama,Sci-Fi	8.1	921702
tt0246578	Donnie Darko	movie	2001	Drama,Mystery,Sci-Fi	8.0	908656
tt1825683	Black Panther	movie	2018	Action,Adventure,Sci-Fi	7.3	905520
tt1454468	Gravity	movie	2013	Drama,Sci-Fi,Thriller	7.7	897480
tt0083658	Blade Runner	movie	1982	Action,Drama,Sci-Fi	8.1	878947
tt0480249	I Am Legend	movie	2007	Drama,Horror,Sci-Fi	7.2	873480
tt0770828	Man of Steel	movie	2013	Action,Adventure,Sci-Fi	7.1	864110
tt2543164	Arrival	movie	2016	Drama,Mystery,Sci-Fi	7.9	858019
tt1631867	Edge of Tomorrow	movie	2014	Action,Adventure,Sci-Fi	7.9	801200
tt2250912	Spider-Man: Homecoming	movie	2017	Action,Adventure,Sci-Fi	7.4	792155
tt2975590	Batman v Superman: Dawn of Justice	movie	2016	Action,Adventure,Sci-Fi	6.4	789589
tt1877832	X-Men: Days of Future Past	movie	2014	Action,Adventure,Sci-Fi	7.9	786023
tt0316654	Spider-Man 2	movie	2004	Action,Adventure,Sci-Fi	7.5	780208
tt0062622	2001: A Space Odyssey	movie	1968	Adventure,Sci-Fi	8.3	779946
tt0478970	Ant-Man	movie	2015	Action,Comedy,Sci-Fi	7.2	776995
tt1951264	The Hunger Games: Catching Fire	movie	2013	Action,Adventure,Sci-Fi	7.5	770712
tt1270798	X-Men: First Class	movie	2011	Action,Sci-Fi	7.7	762231
tt0948470	The Amazing Spider-Man	movie	2012	Action,Sci-Fi	6.9	760969
tt3748528	Rogue One: A Star Wars Story	movie	2016	Action,Adventure,Sci-Fi	7.8	752133
tt1136608	District 9	movie	2009	Action,Sci-Fi,Thriller	7.9	750769
tt0369610	Jurassic World	movie	2015	Action,Adventure,Sci-Fi	6.9	726754
tt1798709	Her	movie	2013	Drama,Romance,Sci-Fi	8.0	724432
tt0418279	Transformers	movie	2007	Action,Adventure,Sci-Fi	7.1	716038
tt1446714	Prometheus	movie	2012	Adventure,Sci-Fi	7.0	697090
tt0413300	Spider-Man 3	movie	2007	Action,Adventure,Sci-Fi	6.3	696549
tt0120903	X-Men	movie	2000	Action,Adventure,Sci-Fi	7.3	689626
tt6723592	Tenet	movie	2020	Action,Sci-Fi,Thriller	7.3	681556
tt0114746	12 Monkeys	movie	1995	Mystery,Sci-Fi,Thriller	8.0	678100
tt0234215	The Matrix Reloaded	movie	2003	Action,Sci-Fi	7.2	668452
tt11286314	Don't Look Up	movie	2021	Comedy,Drama,Sci-Fi	7.1	667668
tt4154664	Captain Marvel	movie	2019	Action,Adventure,Sci-Fi	6.7	655885
tt6644200	A Quiet Place	movie	2018	Drama,Horror,Sci-Fi	7.5	654967
tt1219289	Limitless	movie	2011	Sci-Fi,Thriller	7.4	645214
tt0116629	Independence Day	movie	1996	Action,Adventure,Sci-Fi	7.0	644882
tt0796366	Star Trek	movie	2009	Action,Adventure,Sci-Fi	7.9	637421
tt0470752	Ex Machina	movie	2014	Drama,Sci-Fi,Thriller	7.7	636593
tt1276104	Looper	movie	2012	Action,Drama,Sci-Fi	7.4	627248
tt0096874	Back to the Future Part II	movie	1989	Adventure,Comedy,Sci-Fi	7.8	618841
tt0343818	I, Robot	movie	2004	Action,Mystery,Sci-Fi	7.1	612979
tt0290334	X2: X-Men United	movie	2003	Action,Sci-Fi,Thriller	7.4	610230
tt1318514	Rise of the Planet of the Apes	movie	2011	Action,Drama,Sci-Fi	7.6	604107
tt1270797	Venom	movie	2018	Action,Adventure,Sci-Fi	6.6	603740
tt1872181	The Amazing Spider-Man 2	movie	2014	Action,Adventure,Sci-Fi	6.6	586854
tt1483013	Oblivion	movie	2013	Action,Adventure,Sci-Fi	7.0	584502
tt2872732	Lucy	movie	2014	Action,Sci-Fi,Thriller	6.4	576463
tt0242653	The Matrix Revolutions	movie	2003	Action,Sci-Fi	6.7	573651
tt0376994	X-Men: The Last Stand	movie	2006	Action,Adventure,Sci-Fi	6.6	570891
tt0458525	X-Men Origins: Wolverine	movie	2009	Action,Sci-Fi	6.5	566382
tt0206634	Children of Men	movie	2006	Drama,Sci-Fi,Thriller	7.9	564079
tt0800080	The Incredible Hulk	movie	2008	Action,Adventure,Sci-Fi	6.6	562229
tt1790864	The Maze Runner	movie	2014	Action,Mystery,Sci-Fi	6.8	559699
tt1663662	Pacific Rim	movie	2013	Action,Adventure,Sci-Fi	6.9	557446
tt0475784	Westworld	tvSeries	2016	Drama,Mystery,Sci-Fi	8.4	556857
tt0289879	The Butterfly Effect	movie	2004	Drama,Sci-Fi,Thriller	7.6	554416
tt1951265	The Hunger Games: Mockingjay - Part 1	movie	2014	Action,Adventure,Sci-Fi	6.6	543866
tt0289043	28 Days Later	movie	2002	Drama,Horror,Sci-Fi	7.5	543086
tt0119116	The Fifth Element	movie	1997	Action,Adventure,Sci-Fi	7.6	542010
tt1677720	Ready Player One	movie	2018	Action,Adventure,Sci-Fi	7.4	539241
tt0084787	The Thing	movie	1982	Horror,Mystery,Sci-Fi	8.2	523738
tt1430132	The Wolverine	movie	2013	Action,Sci-Fi	6.7	522600
tt0099088	Back to the Future Part III	movie	1990	Adventure,Comedy,Sci-Fi	7.5	517913
tt0319262	The Day After Tomorrow	movie	2004	Action,Adventure,Sci-Fi	6.5	510279
tt1408101	Star Trek Into Darkness	movie	2013	Action,Adventure,Sci-Fi	7.7	509722
tt0407304	War of the Worlds	movie	2005	Action,Adventure,Sci-Fi	6.6	505519
tt1355644	Passengers	movie	2016	Drama,Romance,Sci-Fi	7.0	493501
tt3385516	X-Men: Apocalypse	movie	2016	Action,Adventure,Sci-Fi	6.8	490848
tt1535108	Elysium	movie	2013	Action,Drama,Sci-Fi	6.6	490495
tt1637688	In Time	movie	2011	Action,Sci-Fi,Thriller	6.7	482006
tt0120591	Armageddon	movie	1998	Action,Adventure,Sci-Fi	6.7	477886
tt0119567	The Lost World: Jurassic Park	movie	1997	Action,Adventure,Sci-Fi	6.6	476458
tt3480822	Black Widow	movie	2021	Action,Adventure,Sci-Fi	6.6	474634
tt0083866	E.T. the Extra-Terrestrial	movie	1982	Adventure,Family,Sci-Fi	7.9	470179
tt0217869	Unbreakable	movie	2000	Drama,Mystery,Sci-Fi	7.3	466533
tt0831387	Godzilla	movie	2014	Action,Adventure,Sci-Fi	6.4	463308
tt1245492	This Is the End	movie	2013	Comedy,Fantasy,Sci-Fi	6.6	454432
tt1055369	Transformers: Revenge of the Fallen	movie	2009	Action,Adventure,Sci-Fi	6.0	452847
